科目名,学科,開講学期,曜日・時限,単位数,授業形態,実施方法,教授名,到達目標,概要,授業計画,成績評価基準,成績評価結果,配当年次,カテゴリ
微分方程式Ⅰ,インテリジェント情報工学科,秋学期,水曜日3講時,2,講義,面接/Face-to-face,藤井 慎一,以下の項目について基本的問題が解けるようになる。 (1)微分方程式の初等解法 (2)単独定数係数微分方程式の解法 (3)２階微分方程式の定数変化法 (4)対角化可能な２ｘ２連立定数係数斉次線型微分方程式の解法,次の項目について考察する。（1）常微分方程式の初等解法（求積法）（2）線型微分方程式の一般論および定数係数の場合の解法（3）連立線形微分方程式の一般論および定数係数の場合の解法。求積法では微分積分法の不定積分の知識を必要とする。また，線形微分方程式，連立線形微分方程式では充分な線形代数学の知識を必要とする。,"[{""授業回"": """", ""内容"": ""イントロダクション""}, {""授業回"": """", ""内容"": ""微分方程式の定義 微分方程式の初等解法　変数分離型，同次型""}, {""授業回"": """", ""内容"": ""微分方程式の初等解法　線形方程式""}, {""授業回"": """", ""内容"": ""微分方程式の初等解法　全微分型""}, {""授業回"": """", ""内容"": ""微分方程式の初等解法　積分因子""}, {""授業回"": """", ""内容"": ""線形微分方程式の初期値問題の解の存在と一意性,ロンスキー行列式,斉次方程式の解の構造""}, {""授業回"": """", ""内容"": ""定数係数線形斉次微分方程式の解法1""}, {""授業回"": """", ""内容"": ""定数係数線形斉次微分方程式の解法2""}, {""授業回"": """", ""内容"": ""線型微分方程式の定数変化法""}, {""授業回"": """", ""内容"": ""定数係数線形非斉次微分方程式の解法1""}, {""授業回"": """", ""内容"": ""定数係数線型非斉次微分方程式の解法2""}, {""授業回"": """", ""内容"": ""線形微分方程式の初期値問題の解の存在と一意性,斉次方程式の解の構造 行列の指数関数""}, {""授業回"": """", ""内容"": ""定数係数連立線形微分方程式1　対角化可能な場合の斉次方程式の解法1""}, {""授業回"": """", ""内容"": ""定数係数連立線形微分方程式2 対角化可能な場合の斉次方程式の解法2,非斉次方程式の解法""}, {""授業回"": """", ""内容"": ""授業および定期試験の講評 定数係数連立線型微分方程式3　対角化可能と限らない場合の斉次方程式の解法""}]","[{""項目"": ""課題提出"", ""割合"": ""50%"", ""詳細"": ""授業で解説した計算問題の解法ができるかを見る。""}, {""項目"": ""期末試験"", ""割合"": ""50%"", ""詳細"": ""授業で解説した計算問題の解法ができるかを見る。""}]","{""登録者数"": ""87"", ""A"": ""44.8"", ""B"": ""20.7"", ""C"": ""10.3"", ""D"": ""4.6"", ""F"": ""19.5"", ""他"": ""0.0"", ""評点平均値"": ""2.7"", ""備考"": """"}",1,
微分方程式Ⅱ,インテリジェント情報工学科,春学期,水曜日3講時,2,講義,面接/Face-to-face,藤井 慎一,次の項目について基本的問題が解けるようになる. (1)対角化可能でない２ｘ２斉次定数係数連立微分方程式の解法 (2)逐次近似法 (3)級数による微分方程式の解法 (4)確定特異点をもつ微分方程式の解法 (5)定数係数２ｘ２連立微分方程式の平衡点の分類と解軌道を描くこと (6)線型連立微分方程式の平衡点の安定性の線型近似による判定 (7)リャプノフ関数による平衡点の安定性の判定,次の項目について考察する。（1）微分方程式の初期値問題の解の存在定理と一意性定理，逐次近似法（2）級数による微分方程式の解法(3)確定特異点をもつ微分方程式（フロべニウスの方法）（4）二次元連立線型微分方程式の解軌道(5)非線型連立微分方程式の平衡点の安定性(6)極限周期軌道,"[{""授業回"": """", ""内容"": ""イントロダクション""}, {""授業回"": """", ""内容"": ""微分方程式の初期値問題の解の存在と一意性　逐次近似法1""}, {""授業回"": """", ""内容"": ""微分方程式の初期値問題の解の存在と一意性　逐次近似法2""}, {""授業回"": """", ""内容"": ""二階線型微分方程式の級数による解法1""}, {""授業回"": """", ""内容"": ""二階線型微分方程式の級数による解法2""}, {""授業回"": """", ""内容"": ""確定特異点を持つ微分方程式 フロべニウスの方法１""}, {""授業回"": """", ""内容"": ""確定特異点を持つ微分方程式 フロべニウスの方法2""}, {""授業回"": """", ""内容"": ""確定特異点を持つ微分方程式 フロベニウスの方法3""}, {""授業回"": """", ""内容"": ""二次元連立線型微分方程式の解軌道　平衡点の分類1""}, {""授業回"": """", ""内容"": ""二次元連立線形微分方程式の解軌道　平衡点の分類2""}, {""授業回"": """", ""内容"": ""二次元連立線形微分方程式の解軌道　平衡点の分類3""}, {""授業回"": """", ""内容"": ""非線型連立微分方程式の平衡点の安定性""}, {""授業回"": """", ""内容"": ""リャプノフ関数による安定性の判定""}, {""授業回"": """", ""内容"": ""与えられた閉曲線を極限集合とする方程式""}, {""授業回"": """", ""内容"": ""授業および定期試験の講評 ファンデルポルの方程式""}]","[{""項目"": ""小レポート"", ""割合"": ""50%"", ""詳細"": ""授業で解説したのと同様の問題が解けるかを見る。""}, {""項目"": ""期末試験"", ""割合"": ""50%"", ""詳細"": ""授業で解説したのと同様の問題が解けるかを見る。""}]","{""登録者数"": ""93"", ""A"": ""24.7"", ""B"": ""28.0"", ""C"": ""24.7"", ""D"": ""11.8"", ""F"": ""10.8"", ""他"": ""0.0"", ""評点平均値"": ""2.4"", ""備考"": """"}",2,
応用数理統計学,インテリジェント情報工学科,秋学期,月曜日2講時,2,講義,面接/Face-to-face,近原 鷹一,知識・技能：母数の推定や仮説検定ができるようになる． 思考力・判断力・表現力：分析結果を適切に解釈できるようになる． 主体性・多様性・協働性：発展的な内容について自身で調査し解釈できるようになる．,春学期の「数理統計学」で習得した知識をベースに，推定・仮説検定・分散分析の具体的な方法を学ぶ．,"[{""授業回"": ""1"", ""内容"": ""数理統計学の復習 (1)""}, {""授業回"": ""2"", ""内容"": ""授業内容に基づく演習""}, {""授業回"": ""2"", ""内容"": ""数理統計学の復習 (2)""}, {""授業回"": ""3"", ""内容"": ""推定 (1)""}, {""授業回"": ""4"", ""内容"": ""推定 (2)""}, {""授業回"": ""5"", ""内容"": ""仮説検定 (1)""}, {""授業回"": ""6"", ""内容"": ""仮説検定 (2)""}, {""授業回"": ""7"", ""内容"": ""推定 (3)，仮説検定 (3)""}, {""授業回"": ""8"", ""内容"": ""前半部分の復習""}, {""授業回"": ""9"", ""内容"": ""中間評価""}, {""授業回"": ""10"", ""内容"": ""モーメント母関数""}, {""授業回"": ""11"", ""内容"": ""2標本問題 (1)""}, {""授業回"": ""12"", ""内容"": ""2標本問題 (2)""}, {""授業回"": ""13"", ""内容"": ""分散分析 (1)""}, {""授業回"": ""14"", ""内容"": ""分散分析 (2)""}, {""授業回"": ""15"", ""内容"": ""講義の総括""}]","[{""項目"": ""レポート"", ""割合"": ""30%"", ""詳細"": ""講義内容に関するレポートの提出状況から評価する．""}, {""項目"": ""中間試験"", ""割合"": ""30%"", ""詳細"": ""講義内容の理解度をチェックする．""}, {""項目"": ""期末試験"", ""割合"": ""40%"", ""詳細"": ""講義内容の理解度をチェックする．""}]","{""登録者数"": ""98"", ""A"": ""44.9"", ""B"": ""26.5"", ""C"": ""18.4"", ""D"": ""5.1"", ""F"": ""5.1"", ""他"": ""0.0"", ""評点平均値"": ""3.0"", ""備考"": """"}",2,
応用数理解析,インテリジェント情報工学科,春学期,月曜日3講時,2,講義,面接/Face-to-face,高橋　和彦,学生が，動的な現象やシステムを数理的にモデル化する手法と解析手法を身につけることができるようになることを目標とする．,微分方程式や偏微分方程式によって記述される動的な現象やシステムを対象として取り上げ，その解析方法について講述する。,"[{""授業回"": ""第1回"", ""内容"": ""イントロダクション・動的な現象と方程式""}, {""授業回"": ""第2回"", ""内容"": ""「動的な現象と方程式」のオンデマンド動画内で提示される課題の演習""}, {""授業回"": ""第3回"", ""内容"": ""常微分方程式（１）""}, {""授業回"": ""第4回"", ""内容"": ""常微分方程式（２）""}, {""授業回"": ""第5回"", ""内容"": ""常微分方程式（３）""}, {""授業回"": ""第6回"", ""内容"": ""常微分方程式（４）""}, {""授業回"": ""第7回"", ""内容"": ""フーリエ級数・フーリエ変換（１）""}, {""授業回"": ""第8回"", ""内容"": ""フーリエ級数・フーリエ変換（２）""}, {""授業回"": ""第9回"", ""内容"": ""フーリエ級数・フーリエ変換（３）""}, {""授業回"": ""第10回"", ""内容"": ""偏微分方程式（１）""}, {""授業回"": ""第11回"", ""内容"": ""偏微分方程式（２）""}, {""授業回"": ""第12回"", ""内容"": ""偏微分方程式（３）""}, {""授業回"": ""第13回"", ""内容"": ""偏微分方程式（４）""}, {""授業回"": ""第14回"", ""内容"": ""ラプラス変換（１）""}, {""授業回"": ""第15回"", ""内容"": ""ラプラス変換（２）""}, {""授業回"": ""第16回"", ""内容"": ""まとめ・補遺""}, {""授業回"": ""第17回"", ""内容"": ""「まとめ・補遺」のオンデマンド動画内で提示される課題の演習""}]","[{""項目"": ""平常点（演習，クラス参加，発表，グループ作業の成果等）"", ""割合"": ""10%"", ""詳細"": ""演習問題による小テストを行い，講義内容の理解度を確認することがある．""}, {""項目"": ""期末試験"", ""割合"": ""90%"", ""詳細"": ""講義内容の理解度を記述式の課題により評価する．""}]","{""登録者数"": ""125"", ""A"": ""14.4"", ""B"": ""24.8"", ""C"": ""24.0"", ""D"": ""26.4"", ""F"": ""10.4"", ""他"": ""0.0"", ""評点平均値"": ""2.1"", ""備考"": """"}",2,
情報と社会,インテリジェント情報工学科,秋学期,火曜日2講時,2,講義,面接/Face-to-face,小野　景子,「情報システムとは何か」の理解を深めるとともに，最新の情報技術への関心を高め，情報を収集する能力を身につける．,"皆さんは「『システム』とは何か？」「『情報システム』とはどの様なものか？」について，考えたことがあるだろうか？「情報システム」は，コンピュータシステムやプログラムを意味するものではない．「情報システム」をデザインすることは，ユーザインタフェースを設計することではない．「情報システム」は，本来，コンピュータやインターネットとは無関係な概念である．コンピュータとは無関係の「情報システム」も多数存在する． 本講義では，この様な観点から，「社会が求める情報システムとは，どの様なものなのか？」を理解する．具体的には，情報システムは，「社会，組織体または個人の活動を支える適切な情報を，収集し，加工し，伝達するための,人間活動を含む社会的な仕組みである．」とする．世の中の仕組みを情報システムとして捉えることの意味，　そして，情報システムを支えるシステムエンジニアとしての職業（仕事内容），更に，今日の「情報システム」の開発において不可欠である，著作権法，個人情報保護法等など，これら法律に関する初歩的知識を学ぶ．","[{""授業回"": ""１"", ""内容"": ""ガイダンス""}, {""授業回"": ""１"", ""内容"": ""情報システムとは何かについてのレポート""}, {""授業回"": ""２"", ""内容"": ""情報システムとは何か（その2）""}, {""授業回"": ""３"", ""内容"": ""情報システムとは何か（その3）""}, {""授業回"": ""4"", ""内容"": ""著作権法""}, {""授業回"": ""5"", ""内容"": ""ミニテスト１""}, {""授業回"": ""6"", ""内容"": ""情報システムとしてのメディア（その１）""}, {""授業回"": ""7"", ""内容"": ""情報システムとしてのメディア（その２）""}, {""授業回"": ""8"", ""内容"": ""情報システムとして捉えた社会（その１）""}, {""授業回"": ""9"", ""内容"": ""情報システムとして捉えた社会（その２）""}, {""授業回"": ""10"", ""内容"": ""個人情報保護法""}, {""授業回"": ""11"", ""内容"": ""その他のインターネットに関係した法律""}, {""授業回"": ""12"", ""内容"": ""情報システムとは何か（その３）""}, {""授業回"": ""13"", ""内容"": ""情報システムとは何か（その４）""}, {""授業回"": ""14"", ""内容"": ""ミニテスト２""}, {""授業回"": ""15"", ""内容"": ""まとめ""}, {""授業回"": ""15"", ""内容"": ""第１回目のレポートを授業内容を踏まえ修正""}]","[{""項目"": ""情報システムに関するレポート"", ""割合"": ""20%"", ""詳細"": ""6-9回目の学習内容の理解を確認するため，6-9回目は毎回授業中にレポートを提出する．""}, {""項目"": ""ミニテスト（2回）"", ""割合"": ""80%"", ""詳細"": ""１回あたり，40点．""}]","{""登録者数"": ""34"", ""A"": ""11.8"", ""B"": ""29.4"", ""C"": ""14.7"", ""D"": ""20.6"", ""F"": ""23.5"", ""他"": ""0.0"", ""評点平均値"": ""1.9"", ""備考"": """"}",1,
情報と職業,インテリジェント情報工学科,春学期,土曜日2講時,2,講義,面接/Face-to-face,下坂 光,現在の情報技術の動向を知り，そのうえで，情報に関わる職業も大きく変化していることを理解する。 高等学校の教員として必要な情報技術や情報産業に関する知識を習得する。 情報と職業に関するニュースに関心をもって触れられるようになる。,AIをはじめとした情報技術の発展は，個人の情報の利活用や企業のビジネスのあり方を大きく変えている。とくに昨今の生成AIの普及は，その変化を加速させている。 この科目ではそういった新しい情報技術が，高等教育における情報科目の教育，個人のキャリア開発，企業の情報システムへの投資や人材育成に，どういった影響を及ぼすのかを解説する。加えて，ディスカッションや実習を通して，これらの変化を深く理解する。 また情報技術はエンジニアだけが用いるスキルではなく，あらゆるビジネスパーソンに必須のスキルである。そのような社会において，情報を教える教員が備えておくべく知識についても解説する。さらに教員から，情報と職業に関するニュースや情報提供も適宜行う。,"[{""授業回"": ""第1回"", ""内容"": ""イントロダクション""}, {""授業回"": ""第2回"", ""内容"": ""生成AIと教育""}, {""授業回"": ""第3回"", ""内容"": ""AIと職業""}, {""授業回"": ""第4回"", ""内容"": ""IoT/スマートサービスとプライバシー/個人情報保護""}, {""授業回"": ""第5回"", ""内容"": ""情報を扱う仕事と資格・スキル標準""}, {""授業回"": ""第6回"", ""内容"": ""デザインと著作権""}, {""授業回"": ""第7回"", ""内容"": ""電子商取引（EC）とデザイン""}, {""授業回"": ""第8回"", ""内容"": ""顧客経験とデザイン""}, {""授業回"": ""第9回"", ""内容"": ""企業におけるIT化の歴史とDX""}, {""授業回"": ""第10回"", ""内容"": ""DX人材とデジタルスキル標準""}, {""授業回"": ""第11回"", ""内容"": ""企業における人材育成と個人のキャリア開発""}, {""授業回"": ""第12回"", ""内容"": ""情報サービス業の特徴""}, {""授業回"": ""第13回"", ""内容"": ""情報に関係する法制度と知的財産権""}, {""授業回"": ""第14回"", ""内容"": ""高校・大学における情報教育""}, {""授業回"": ""第15回"", ""内容"": ""「情報と職業」まとめ""}]","[{""項目"": ""平常点（クラス参加，発表，グループワーク等）"", ""割合"": ""50%"", ""詳細"": ""クラスへの貢献，議論や発表への意欲""}, {""項目"": ""期末レポート"", ""割合"": ""50%"", ""詳細"": ""授業内容の理解，自分の意見が述べられているか""}]","{""登録者数"": ""16"", ""A"": ""37.5"", ""B"": ""25.0"", ""C"": ""31.3"", ""D"": ""6.3"", ""F"": ""0.0"", ""他"": ""0.0"", ""評点平均値"": ""2.9"", ""備考"": """"}",3,
情報システム実習,インテリジェント情報工学科,秋学期,木曜日5講時,1,実習,面接(特例)/Face-to-face(special),小板　隆浩,この科目の達成目標として，具体的に次のような項目をあげられる。 （１）現代社会に不可欠な情報システムの役割とその機能の実現法の基礎を修得する。 （２）メディア情報を扱う情報システムの能力とその実現法の基礎を修得する。 （３）AI（人工知能）の基礎である機械学習の基礎を修得する。 （３）人の社会活動に伴って生じる社会情報を扱う情報システムの能力とその実現法の基礎を修得する。 （４）情報システム利用者の要望をシステム開発に反映する方法論を修得する。 （５）グループワークを通してシステム開発を行う方法論を修得する。,情報システムとは，企業における業務支援システムから官公庁のデータ管理システム，交通機関の制御システム，金融システム，さらには多種多様な家電システムに至る，コンピュータと利用者が協働することによって新たな価値を創造する広範な価値創造の仕組みのことである。本科目では，そうした情報システムの役割や機能，設計開発における考え方などの基礎を，実習を交えて学習する。情報システムが扱う多種多様な情報や機能に対応して，科目では，音声や映像，テキストなどのメディア情報の処理法や，AI（人工知能）の基礎である機械学習，広く社会で繰り広げられる人間の活動に伴う社会情報の処理法などを，網羅的に扱う。また，利用者が望む情報処理要件をシステムとして具体化していく過程の実習などを通して，単にコンピュータを操作する技能を身につけるのではなく，コンピュータを用いて価値を創造する情報システムという存在の本質を理解することを目指す。 企業において研究開発あるいは情報システム開発の実務経験を有する教員が，高校生などの初学者向け教育にも適した水準の実習を行う。,"[{""授業回"": ""1回目"", ""内容"": ""情報システムデザインの概要（担当：小板）""}, {""授業回"": ""2回目"", ""内容"": ""情報システムの基礎（担当：小板）""}, {""授業回"": ""3回目"", ""内容"": ""情報システムの方法論（担当：小板）""}, {""授業回"": ""4回目"", ""内容"": ""情報システム設計の基礎（担当：小板・川崎）""}, {""授業回"": ""5回目"", ""内容"": ""情報システム開発の方法論（担当：川崎）""}, {""授業回"": ""6回目"", ""内容"": ""情報システムの設計実習１（担当：川崎）""}, {""授業回"": ""7回目"", ""内容"": ""情報システムの設計実習２（担当：川崎）""}, {""授業回"": ""8回目"", ""内容"": ""機械学習の基礎（担当：川崎）""}, {""授業回"": ""9回目"", ""内容"": ""機械学習による処理の基礎（担当：川崎）""}, {""授業回"": ""10回目"", ""内容"": ""機械学習による分析の実習（担当：川崎）""}, {""授業回"": ""11回目"", ""内容"": ""機械学習によるテキスト処理の基礎（担当：田村）""}, {""授業回"": ""12回目"", ""内容"": ""機械学習によるテキスト処理の実習（担当：田村）""}, {""授業回"": ""13回目"", ""内容"": ""機械学習による画像処理の基礎（担当：田村）""}, {""授業回"": ""14回目"", ""内容"": ""機械学習による画像処理の実習（担当：田村）""}, {""授業回"": ""15回目"", ""内容"": ""まとめ（担当：小板）""}]","[{""項目"": ""実習およびレポート"", ""割合"": ""80%"", ""詳細"": ""各回ごとに課題を実施し，授業内容の理解度を確認する。なお，実習中にレポート課題が出されることがある。""}, {""項目"": ""平常点"", ""割合"": ""20%"", ""詳細"": ""原則として全回出席すること。正当な理由のない遅刻あるいは欠席は減点対象とする。""}]",,2,
情報システム工学,インテリジェント情報工学科,秋学期,金曜日1講時,2,講義,面接/Face-to-face,小野　景子,オブジェクト指向アプローチによるシステム開発とソフトウェアのタスク管理 についての基本的な知識を身につけることができる．,情報システム化の対象となる世界を認識してユーザ要求を明確化する「要求分析」は，情報システム開発プロセスの最上流に位置づけられ，情報システム開発プロセス全体にとっても極めて重要な意味を持つ．要求分析において，主流として用いられている手法は，設計思想としては「オブジェクト指向」である．本講義では，ソフトウェアの仕組み，プロジェクトマネジメントの理解も合わせ行うことで，オブジェクト指向によるプログラミング開発の理解を深めることを目的とする．,"[{""授業回"": ""1"", ""内容"": ""イントロダクション""}, {""授業回"": ""1"", ""内容"": ""レポート(ウォータフォールモデル)""}, {""授業回"": ""2"", ""内容"": ""システム開発技術(1)""}, {""授業回"": ""3"", ""内容"": ""システム開発技術(2)""}, {""授業回"": ""4"", ""内容"": ""オブジェクト指向""}, {""授業回"": ""5"", ""内容"": ""オブジェクト指向(ER図，UML図)""}, {""授業回"": ""6"", ""内容"": ""クラス図(1)""}, {""授業回"": ""7"", ""内容"": ""クラス図(2)""}, {""授業回"": ""8"", ""内容"": ""プロジェクトマネジメント""}, {""授業回"": ""9"", ""内容"": ""サービスマネジメント""}, {""授業回"": ""10"", ""内容"": ""サービストランザクション""}, {""授業回"": ""11"", ""内容"": ""サービスオペレーション""}, {""授業回"": ""12"", ""内容"": ""経営戦略，ガイドラインと標準化""}, {""授業回"": ""13"", ""内容"": ""演習(システム開発)""}, {""授業回"": ""14"", ""内容"": ""演習(クラス図)""}, {""授業回"": ""15"", ""内容"": ""総括""}, {""授業回"": ""15"", ""内容"": ""演習(システム開発)の添削""}]","[{""項目"": ""ミニテスト（演習）"", ""割合"": ""30%"", ""詳細"": ""毎回，演習をしてもらいます．""}, {""項目"": ""演習(システム開発)"", ""割合"": ""35%"", ""詳細"": """"}, {""項目"": ""演習(クラス図)"", ""割合"": ""35%"", ""詳細"": """"}]","{""登録者数"": ""84"", ""A"": ""7.1"", ""B"": ""31.0"", ""C"": ""25.0"", ""D"": ""14.3"", ""F"": ""22.6"", ""他"": ""0.0"", ""評点平均値"": ""1.9"", ""備考"": """"}",2,
情報セキュリティ,インテリジェント情報工学科,秋学期,水曜日2講時,2,講義,面接/Face-to-face,木村　共孝,（知識）情報処理技術者試験である情報処理安全確保支援士合格に向けた基礎的な幅広い知識を習得できるようになる． （技能）情報セキュリティに関する一般的な問題を総合的に解決できるようになる． （態度）様々なシステムを情報セキュリティの観点から捉えることができるようになる．,安全・安心な情報化社会の実現とその維持のために情報セキュリティは益々重要になってきている。本講義では，情報システムを情報セキュリティの観点から捉える方法論を学ぶことで，情報のセキュリティを確保し維持するための問題把握能力および問題解決能力の基礎を養う。,"[{""授業回"": ""1："", ""内容"": ""情報社会と情報セキュリティ""}, {""授業回"": ""2："", ""内容"": ""コンピュータ犯罪""}, {""授業回"": ""3："", ""内容"": ""コンピュータウィルス""}, {""授業回"": ""4："", ""内容"": ""侵入・攻撃による脅威""}, {""授業回"": ""5："", ""内容"": ""脆弱性""}, {""授業回"": ""6："", ""内容"": ""リスクマネジメント""}, {""授業回"": ""7："", ""内容"": ""侵入検知と防御""}, {""授業回"": ""8："", ""内容"": ""暗号の歴史と基礎""}, {""授業回"": ""9："", ""内容"": ""共通鍵暗号の仕組み""}, {""授業回"": ""10："", ""内容"": ""鍵配送問題,公開鍵暗号の仕組み""}, {""授業回"": ""11："", ""内容"": ""公開鍵暗号の安全性，Diffie-Hellman鍵交換""}, {""授業回"": ""12："", ""内容"": ""一方向ハッシュ関数，メッセージ認証コード""}, {""授業回"": ""13："", ""内容"": ""デジタル署名""}, {""授業回"": ""14："", ""内容"": ""SSL/TLS""}, {""授業回"": ""15："", ""内容"": ""総論""}]","[{""項目"": ""期末試験"", ""割合"": ""60%"", ""詳細"": ""講義内容が理解できているか評価する。""}, {""項目"": ""レポート"", ""割合"": ""40%"", ""詳細"": ""講義の理解度を高めるため，演習の実施とレポートの提出を行う。""}]","{""登録者数"": ""78"", ""A"": ""23.1"", ""B"": ""33.3"", ""C"": ""28.2"", ""D"": ""11.5"", ""F"": ""3.8"", ""他"": ""0.0"", ""評点平均値"": ""2.6"", ""備考"": """"}",3,
情報メディア,インテリジェント情報工学科,春学期,火曜日1講時,2,講義,面接/Face-to-face,芳賀 博英,受講生は ・「情報」に対する認識の深化， ・「メディア」に対する認識の深化， ・「歴史」に対する認識の深化， ・さまざまな「モノ」に潜む情報メディアの認識の深化 を学び，気づくことができるようになる．また，同時に ・今ある「モノ」がなぜ今の「カタチ」になっているか，を理解する． ・答えのない問い，答えが分からない問いにどう対峙するか？ という疑問についても考えるきっかけとなる．,人に情報を伝える手段・媒体を，ここでは「情報メディア」と呼びます．この講義では， ・歴史という視点からの情報（とメディア） ・情報という視点から見た歴史 について述べます． 従来「情報メディア」という言葉は，多くの場合コンピュータと結びついて使われてきましたが，考えてみればコンピュータが生まれるはるか前から「情報」は存在していたはずです．そしてその「情報」を運ぶ媒体として「情報メディア」も同じ歴史を持っているはずです．極端に言えば，生物が持っている遺伝情報を情報の嚆矢だとすると，最古の情報メディアは細胞ということになります．つまり情報メディアは生物の誕生とともに生まれてきたとも言えます．この講義では，情報をこのように捉えて，（生物の発生と細胞までは遡りませんが）情報メディアの歴史と，歴史を情報という視点から見た解釈について講義します． また，メディアの上に情報を載せるためにはさまざまな加工が必要です．この講義ではこれらの加工を総称して「編集」と呼びます．編集の仕方によって情報はさまざまに姿を変え，時には意味すらも変わってきます．この講義の後半ではこの「編集」という行為を情報の視点から読み解きます． 技術的な内容はほとんど含まれていません．プログラミングなども出てきません．むしろ世界史的な要素が多くあります．と言っても，年代を覚えたりさまざまな出来事を暗記する必要はありません．むしろ，世界史の流れを「情報」という視点から見たらどのように解釈できるか，情報の歴史的な変遷ということについて述べます．,"[{""授業回"": ""1"", ""内容"": ""講義の概要説明: 情報メディアとは?""}, {""授業回"": ""2"", ""内容"": ""「情報」という切り口から見た「歴史」""}, {""授業回"": ""3"", ""内容"": ""「歴史」という切り口から見た「情報」""}, {""授業回"": ""4"", ""内容"": ""情報メディアの歴史(1)：文字メディア（古代）""}, {""授業回"": ""5"", ""内容"": ""情報メディアの歴史(2)：文字メディア（中世）""}, {""授業回"": ""6"", ""内容"": ""情報メディアの歴史(3)：文字メディア（近世以降）""}, {""授業回"": ""7"", ""内容"": ""情報メディアの歴史(4)：絵画メディア（その１）""}, {""授業回"": ""8"", ""内容"": ""情報メディアの歴史(5)：絵画メディア（その２）""}, {""授業回"": ""9"", ""内容"": ""情報メディアの歴史(6)：マルチメディア""}, {""授業回"": ""10"", ""内容"": ""フェイクニュースと情報メディア""}, {""授業回"": ""11"", ""内容"": ""編集の手法(1)""}, {""授業回"": ""12"", ""内容"": ""編集の手法(2)""}, {""授業回"": ""13"", ""内容"": ""編集の手法(3)""}, {""授業回"": ""14"", ""内容"": ""編集の手法(4)""}, {""授業回"": ""15"", ""内容"": ""まとめ""}]","[{""項目"": ""講義中に示した課題"", ""割合"": ""100%"", ""詳細"": """"}]","{""登録者数"": ""82"", ""A"": ""68.3"", ""B"": ""17.1"", ""C"": ""6.1"", ""D"": ""6.1"", ""F"": ""2.4"", ""他"": ""0.0"", ""評点平均値"": ""3.4"", ""備考"": """"}",1,
情報メディア実習,インテリジェント情報工学科,春学期,木曜日1講時,1,実習,面接/Face-to-face,加藤　恒夫,知識：コンピュータによるマルチメディア処理の概要を理解する． 技能：一般的な文書作成ソフト・表計算ソフト・プレゼンテーションソフトを用いてマルチメディアを活用した情報表現と情報処理ができるようになる． 態度：マルチメディアを活用した情報表現の実現手段を自ら考えられるようになる．,図・グラフ・写真・音などのマルチメディアを活用した情報表現，情報処理の基礎を，文書作成ソフト，表計算ソフト，プレゼンテーションソフトなどを用いて実習する． 通信会社の研究所での研究開発の経験を有する教員が，実社会でのコンピュータ利用の実態を踏まえて，実習を進める．,"[{""授業回"": ""第1回"", ""内容"": ""実習の概説""}, {""授業回"": ""第2回"", ""内容"": ""文字処理（Microsoft Wordの基本）""}, {""授業回"": ""第3回"", ""内容"": ""文字処理（Microsoft Wordにおける図形描画）""}, {""授業回"": ""第4回"", ""内容"": ""表計算処理""}, {""授業回"": ""第5回"", ""内容"": ""図形処理（フローチャート・数式・グラフの作成）""}, {""授業回"": ""第6回"", ""内容"": ""図形処理（Microsoft Wordを用いた課題演習）""}, {""授業回"": ""第7回"", ""内容"": ""画像処理（物体抽出・輪郭抽出）""}, {""授業回"": ""第8回"", ""内容"": ""画像処理（雑音除去・課題演習）""}, {""授業回"": ""第9回"", ""内容"": ""シミュレーションとマルチメディア（放物運動）""}, {""授業回"": ""第10回"", ""内容"": ""シミュレーションとマルチメディア（空気抵抗と揚力）""}, {""授業回"": ""第11回"", ""内容"": ""シミュレーションとマルチメディア（課題演習）""}, {""授業回"": ""第12回"", ""内容"": ""プレゼンテーション（Microsoft PowerPointの基本）""}, {""授業回"": ""第13回"", ""内容"": ""プレゼンテーション（マルチメディアファイルの追加）""}, {""授業回"": ""第14回"", ""内容"": ""プレゼンテーション（課題演習）""}, {""授業回"": ""第15回"", ""内容"": ""総括""}]","[{""項目"": ""実習レポート"", ""割合"": ""80%"", ""詳細"": ""各回の実習課題に対する提出資料の完成度""}, {""項目"": ""平常点"", ""割合"": ""20%"", ""詳細"": ""授業参加態度""}]","{""登録者数"": ""102"", ""A"": ""38.2"", ""B"": ""38.2"", ""C"": ""11.8"", ""D"": ""6.9"", ""F"": ""4.9"", ""他"": ""0.0"", ""評点平均値"": ""3.0"", ""備考"": """"}",1,
